sha,refactoring_type,url,match_type
f2870034e0e6f3fd14547cef48b956f6057b5794,Rename Method,https://github.com/OpenNMT/OpenNMT-py/commit/f2870034e0e6f3fd14547cef48b956f6057b5794,TP
f2870034e0e6f3fd14547cef48b956f6057b5794,Rename Method,https://github.com/OpenNMT/OpenNMT-py/commit/f2870034e0e6f3fd14547cef48b956f6057b5794,TP
f2870034e0e6f3fd14547cef48b956f6057b5794,Rename Method,https://github.com/OpenNMT/OpenNMT-py/commit/f2870034e0e6f3fd14547cef48b956f6057b5794,TP
f2870034e0e6f3fd14547cef48b956f6057b5794,Rename Method,https://github.com/OpenNMT/OpenNMT-py/commit/f2870034e0e6f3fd14547cef48b956f6057b5794,TP
f2870034e0e6f3fd14547cef48b956f6057b5794,Rename Method,https://github.com/OpenNMT/OpenNMT-py/commit/f2870034e0e6f3fd14547cef48b956f6057b5794,TP
f2870034e0e6f3fd14547cef48b956f6057b5794,Rename Method,https://github.com/OpenNMT/OpenNMT-py/commit/f2870034e0e6f3fd14547cef48b956f6057b5794,TP
f2870034e0e6f3fd14547cef48b956f6057b5794,Rename Method,https://github.com/OpenNMT/OpenNMT-py/commit/f2870034e0e6f3fd14547cef48b956f6057b5794,TP
f1afb5df71893ff2770c7cc7ca83d2ac68f977d7,Rename Variable,https://github.com/PIQuIL/QuCumber/commit/f1afb5df71893ff2770c7cc7ca83d2ac68f977d7,TP
f1afb5df71893ff2770c7cc7ca83d2ac68f977d7,Rename Variable,https://github.com/PIQuIL/QuCumber/commit/f1afb5df71893ff2770c7cc7ca83d2ac68f977d7,TP
f1afb5df71893ff2770c7cc7ca83d2ac68f977d7,Rename Class,https://github.com/PIQuIL/QuCumber/commit/f1afb5df71893ff2770c7cc7ca83d2ac68f977d7,TP
f1afb5df71893ff2770c7cc7ca83d2ac68f977d7,Inline Variable,https://github.com/PIQuIL/QuCumber/commit/f1afb5df71893ff2770c7cc7ca83d2ac68f977d7,TP
f1afb5df71893ff2770c7cc7ca83d2ac68f977d7,Inline Variable,https://github.com/PIQuIL/QuCumber/commit/f1afb5df71893ff2770c7cc7ca83d2ac68f977d7,TP
f088ca492bb0a5ecb6c8b5708132d561b812efde,Rename Variable,,TP
f088ca492bb0a5ecb6c8b5708132d561b812efde,Rename Method,,FP
f088ca492bb0a5ecb6c8b5708132d561b812efde,Inline Method,https://github.com/deepmipt/DeepPavlov/commit/f088ca492bb0a5ecb6c8b5708132d561b812efde,FN
f0622cc5c1d6fc5c81b588a9c365731188fb5cae,Rename Method,,FP
f0622cc5c1d6fc5c81b588a9c365731188fb5cae,Extract Method,https://github.com/nilmtk/nilmtk/commit/f0622cc5c1d6fc5c81b588a9c365731188fb5cae,FN
f01755ae650046c93db08f24b0b5541a9b0a83bd,Move Module,https://github.com/jfzhang95/DeepGrabCut-PyTorch/commit/f01755ae650046c93db08f24b0b5541a9b0a83bd,TP
f01755ae650046c93db08f24b0b5541a9b0a83bd,Move Module,https://github.com/jfzhang95/DeepGrabCut-PyTorch/commit/f01755ae650046c93db08f24b0b5541a9b0a83bd,TP
f01755ae650046c93db08f24b0b5541a9b0a83bd,Move Module,https://github.com/jfzhang95/DeepGrabCut-PyTorch/commit/f01755ae650046c93db08f24b0b5541a9b0a83bd,TP
f01755ae650046c93db08f24b0b5541a9b0a83bd,Move Module,https://github.com/jfzhang95/DeepGrabCut-PyTorch/commit/f01755ae650046c93db08f24b0b5541a9b0a83bd,TP
f01755ae650046c93db08f24b0b5541a9b0a83bd,Move Module,https://github.com/jfzhang95/DeepGrabCut-PyTorch/commit/f01755ae650046c93db08f24b0b5541a9b0a83bd,TP
f01755ae650046c93db08f24b0b5541a9b0a83bd,Move Module,https://github.com/jfzhang95/DeepGrabCut-PyTorch/commit/f01755ae650046c93db08f24b0b5541a9b0a83bd,TP
ef86d2e73e7ce03c4184a04a336d96caf661269a,Rename Variable,https://github.com/deepmind/sonnet/commit/ef86d2e73e7ce03c4184a04a336d96caf661269a,TP
ef86d2e73e7ce03c4184a04a336d96caf661269a,Rename Variable,https://github.com/deepmind/sonnet/commit/ef86d2e73e7ce03c4184a04a336d96caf661269a,TP
ef86d2e73e7ce03c4184a04a336d96caf661269a,Rename Method,https://github.com/deepmind/sonnet/commit/ef86d2e73e7ce03c4184a04a336d96caf661269a,TP
ef86d2e73e7ce03c4184a04a336d96caf661269a,Extract Variable,,FP
ef7dbd2b2ad06fc614570d0943947e24e1334b1b,Rename Variable,https://github.com/ntucllab/libact/commit/ef7dbd2b2ad06fc614570d0943947e24e1334b1b,TP
ef7dbd2b2ad06fc614570d0943947e24e1334b1b,Rename Class,https://github.com/ntucllab/libact/commit/ef7dbd2b2ad06fc614570d0943947e24e1334b1b,TP
ef4ee83ced90babe1e186e370a309ca602794255,Rename Variable,https://github.com/keras-team/autokeras/commit/ef4ee83ced90babe1e186e370a309ca602794255,TP
ef4ee83ced90babe1e186e370a309ca602794255,Rename Variable,https://github.com/keras-team/autokeras/commit/ef4ee83ced90babe1e186e370a309ca602794255,TP
ef4ee83ced90babe1e186e370a309ca602794255,Rename Method,https://github.com/keras-team/autokeras/commit/ef4ee83ced90babe1e186e370a309ca602794255,TP
ef4ee83ced90babe1e186e370a309ca602794255,Rename Method,,FP
ef4ee83ced90babe1e186e370a309ca602794255,Rename Method,,FP
ef4ee83ced90babe1e186e370a309ca602794255,Inline Method,https://github.com/keras-team/autokeras/commit/ef4ee83ced90babe1e186e370a309ca602794255,TP
ef4ee83ced90babe1e186e370a309ca602794255,Extract Variable,https://github.com/keras-team/autokeras/commit/ef4ee83ced90babe1e186e370a309ca602794255,FN
